,Sr. No. ,Sample No. ,Location,Red (R.),Green (G),Blue (B),White (W),Conc. (%),RT-PCR
0,1.0,26 (11/02/2022),Rahatani,0.1662,0.2344,0.29,0.1787,2.0469,Positive
1,,,Rahatani,0.174,0.2359,0.2903,0.1788,2.0625,Positive
2,,,Rahatani,0.171,0.2387,0.2899,0.1986,2.0938,Positive
3,,,Rahatani,0.1768,0.2374,0.2923,0.1945,2.0781,Positive
4,,,Rahatani,0.1749,0.2375,0.2908,0.1865,2.0781,Positive
5,,,Rahatani,0.17258,0.23678,0.29066000000000003,0.18742,2.07188,Positive
7,2.0,27,Kalewadi,0.1697,0.2362,0.2908,0.1978,2.0625,Positive
8,,,Kalewadi,0.1782,0.2404,0.2909,0.1892,2.0938,Positive
9,,,Kalewadi,0.1958,0.2395,0.2953,0.1849,2.0938,Positive
10,,,Kalewadi,0.1751,0.2371,0.2926,0.1877,2.0781,Positive
11,,,Kalewadi,0.1729,0.24,0.2928,0.1868,2.0938,Positive
12,,,Kalewadi,0.17834,0.23864000000000002,0.29247999999999996,0.18928,2.0843999999999996,Positive
14,3.0,28,Pimpri,0.085,0.0985,0.1189,0.0923,0.8633,Positive
15,,,Pimpri,0.0853,0.0994,0.1198,0.0896,0.8711,Positive
16,,,Pimpri,0.0657,0.0994,0.1199,0.0898,0.871,Positive
17,,,Pimpri,0.0875,0.1015,0.1203,0.0937,0.8906,Positive
18,,,Pimpri,0.0897,0.0996,0.1198,0.0891,0.8711,Positive
19,,,Pimpri,0.08264,0.09968000000000002,0.11974,0.09090000000000001,0.87342,Positive
21,4.0,29,Dapodi,0.108,0.1356,0.1546,0.093,1.1875,Negative
22,,,Dapodi,0.1103,0.1394,0.1682,0.0976,1.2188,Negative
23,,,Dapodi,0.1049,0.1359,0.1597,0.0989,1.1875,Negative
24,,,Dapodi,0.1102,0.1444,0.1566,0.1016,1.2656,Negative
25,,,Dapodi,0.112,0.1383,0.1615,0.0991,1.2109,Negative
26,,,Dapodi,0.10908,0.13872,0.16011999999999998,0.09803999999999999,1.21406,Negative
28,5.0,30,Dapodi (Harris Bridge),0.2329,0.3065,0.377,0.2421,2.6875,Negative
29,,,Dapodi (Harris Bridge),0.2234,0.3057,0.3815,0.2384,2.6779,Negative
30,,,Dapodi (Harris Bridge),0.2266,0.3055,0.3816,0.2408,2.6719,Negative
31,,,Dapodi (Harris Bridge),0.2264,0.3055,0.3818,0.2417,2.6719,Negative
32,,,Dapodi (Harris Bridge),0.225,0.3059,0.3813,0.2408,2.6719,Negative
33,,,Dapodi (Harris Bridge),0.22686,0.30582000000000004,0.38064,0.24076,2.67622,Negative
35,6.0,(07/02/2022),Blank,0.0075,0.0008,0.0,0.0005,0.0074,
36,,,Blank,0.0067,0.0025,0.0021,0.0003,0.0216,
37,,,Blank,0.0085,0.0036,0.0,0.0002,0.0311,
38,,,Blank,0.007566666666666667,0.0023,0.0007,0.0003333333333333333,0.020033333333333334,
40,7.0,,Cuvette (Blank),0.0892,0.0956,0.0848,0.0807,0.8359,
41,,,Cuvette (Blank),0.0626,0.08,0.0767,0.0892,0.6992,
42,,,Cuvette (Blank),0.0645,0.0799,0.0754,0.0938,0.6992,
43,,,Cuvette (Blank),0.0652,0.0796,0.0751,0.092,0.6953,
44,,,Cuvette (Blank),0.0641,0.0809,0.0809,0.0922,0.707,
45,,,Cuvette (Blank),0.06911999999999999,0.08320000000000001,0.07858000000000001,0.08958,0.72732,
47,8.0,1 (07/02/2022),Kothrud (Sanjeevan Hospital),0.2097,0.2678,0.3152,0.2245,2.3438,Positive
48,,,Kothrud (Sanjeevan Hospital),0.2058,0.2576,0.2962,0.1993,2.25,Positive
49,,,Kothrud (Sanjeevan Hospital),0.2082,0.2574,0.2868,0.2204,2.25,Positive
50,,,Kothrud (Sanjeevan Hospital),0.2061,0.2497,0.2855,0.2006,2.1875,Positive
51,,,Kothrud (Sanjeevan Hospital),0.2027,0.2569,0.2967,0.2107,2.25,Positive
52,,,Kothrud (Sanjeevan Hospital),0.20649999999999996,0.25788,0.29608,0.21109999999999998,2.25626,Positive
54,9.0,2,kothrud (Bus stand),0.111,0.1524,0.1769,0.1032,1.3359,Positive
55,,,kothrud (Bus stand),0.1124,0.158,0.1995,0.1253,1.3828,Positive
56,,,kothrud (Bus stand),0.1279,0.1585,0.1995,0.1253,1.3828,Positive
57,,,kothrud (Bus stand),0.116,0.1597,0.184,0.1094,1.3906,Positive
58,,,kothrud (Bus stand),0.1168,0.1626,0.1837,0.1132,1.4219,Positive
59,,,kothrud (Bus stand),0.11682,0.15824,0.18872,0.11528000000000001,1.3828,Positive
61,10.0,3,Karve Road,0.0004,0.0235,0.0215,0.0002,0.2061,Negative
62,,,Karve Road,0.0074,0.0206,0.0224,0.0006,0.1807,Negative
63,,,Karve Road,0.0041,0.0225,0.0225,0.0002,0.1973,Negative
64,,,Karve Road,0.0271,0.0221,0.0223,0.0,0.1934,Negative
65,,,Karve Road,0.0411,0.0244,0.0214,0.0,0.2129,Negative
66,,,Karve Road,0.01602,0.02262,0.022019999999999998,0.0002,0.19808,Negative
68,11.0,4,warje,0.1181,0.1777,0.2153,0.1369,1.5547,Positive
69,,,warje,0.1241,0.1787,0.2229,0.1462,1.5625,Positive
70,,,warje,0.1396,0.1786,0.2178,0.1396,1.5625,Positive
71,,,warje,0.1386,0.178,0.2156,0.1387,1.5547,Positive
72,,,warje,0.1385,0.1778,0.2146,0.1403,1.5547,Positive
73,,,warje,0.13178,0.17816,0.21723999999999996,0.14034,1.5578200000000002,Positive
75,12.0,5,Shivaji Nagar (Chaturshringhi),0.1082,0.1377,0.1843,0.106,1.2031,Positive
76,,,Shivaji Nagar (Chaturshringhi),0.1094,0.1505,0.1845,0.1052,1.3203,Positive
77,,,Shivaji Nagar (Chaturshringhi),0.1091,0.1468,0.1845,0.1104,1.2813,Positive
78,,,Shivaji Nagar (Chaturshringhi),0.1077,0.1506,0.1844,0.108,1.3203,Positive
79,,,Shivaji Nagar (Chaturshringhi),0.1077,0.1481,0.1841,0.1092,1.2969,Positive
80,,,Shivaji Nagar (Chaturshringhi),0.10842,0.14674000000000004,0.18436000000000002,0.10776,1.28438,Positive
82,13.0,6,Shivaji Nagar,0.0812,0.1519,0.1913,0.1106,1.3281,Positive
83,,,Shivaji Nagar,0.0692,0.1522,0.1889,0.1074,1.3281,Positive
84,,,Shivaji Nagar,0.1098,0.1513,0.1928,0.1233,1.3203,Positive
85,,,Shivaji Nagar,0.1045,0.1519,0.1926,0.1187,1.3281,Positive
86,,,Shivaji Nagar,0.1076,0.1522,0.1931,0.118,1.3281,Positive
87,,,Shivaji Nagar,0.09445999999999999,0.1519,0.19173999999999997,0.1156,1.32654,Positive
89,14.0,7 (08/02/2022),Aundh (Botanical Grarden),0.0563,0.0652,0.0753,0.0429,0.5703,Negative
90,,,Aundh (Botanical Grarden),0.0552,0.0654,0.0781,0.0378,0.5703,Negative
91,,,Aundh (Botanical Grarden),0.0545,0.0651,0.0749,0.0366,0.5703,Negative
92,,,Aundh (Botanical Grarden),0.0534,0.0655,0.0751,0.0511,0.5742,Negative
93,,,Aundh (Botanical Grarden),0.0571,0.065,0.0743,0.0506,0.5664,Negative
94,,,Aundh (Botanical Grarden),0.0553,0.06523999999999999,0.07554000000000001,0.0438,0.5702999999999999,Negative
96,15.0,8,Aundh,0.0556,0.0547,0.0603,0.0257,0.4785,Negative
97,,,Aundh,0.058,0.0522,0.0592,0.0228,0.457,Negative
98,,,Aundh,0.0492,0.0524,0.0611,0.0134,0.459,Negative
99,,,Aundh,0.0562,0.0539,0.0593,0.0419,0.4727,Negative
100,,,Aundh,0.0475,0.0523,0.061,0.0153,0.459,Negative
101,,,Aundh,0.0533,0.0531,0.06017999999999999,0.02382,0.46524,Negative
103,16.0,9,Someshwarwadi,0.0536,0.0659,0.0807,0.0529,0.5742,Negative
104,,,Someshwarwadi,0.0582,0.0678,0.0799,0.0565,0.5938,Negative
105,,,Someshwarwadi,0.055,0.0693,0.0838,0.0261,0.6055,Negative
106,,,Someshwarwadi,0.0547,0.0689,0.0833,0.0343,0.6016,Negative
107,,,Someshwarwadi,0.0568,0.0751,0.0815,0.0615,0.6563,Negative
108,,,Someshwarwadi,0.05566,0.06939999999999999,0.08184,0.04626,0.60628,Negative
110,17.0,10,Pashan,0.0044,0.0223,0.0225,0.002,0.1953,Negative
111,,,Pashan,0.0033,0.0207,0.0226,0.0014,0.1816,Negative
112,,,Pashan,0.0109,0.0202,0.0226,0.0005,0.1768,Negative
113,,,Pashan,0.0,0.0202,0.0227,0.0005,0.1768,Negative
114,,,Pashan,0.0035,0.0207,0.0229,0.001,0.1807,Negative
115,,,Pashan,0.0044199999999999995,0.020819999999999998,0.02266,0.00108,0.18224,Negative
